year,country,ggdp,mil,inf,fdi,gdp
1990,Indonesia,95000000000,2.543151188,7.819191447,1093000000,106141000000
1991,Indonesia,110000000000,2.531462588,9.419058277,1482000000,116622000000
1992,Indonesia,120000000000,2.433922067,7.52351717,1777000000,128027000000
1993,Indonesia,150000000000,2.519120764,9.671893382,2004000000,158007000000
1994,Indonesia,170000000000,2.8826704,8.532005254,2109000000,176892000000
1995,Indonesia,190000000000,,9.420323216,4346000000,202132000000
1996,Indonesia,220000000000,1.41049292,7.973280856,6194000000,227370000000
1997,Indonesia,200000000000,1.324064184,6.226141634,4677000000,215749000000
1998,Indonesia,86000000000,1.356876007,58.45104447,-240800000,95445547873
1999,Indonesia,130000000000,1.223557809,20.47783111,-1865620963,140001000000
2000,Indonesia,150000000000,1.266155617,3.68861916,-4550355286,165021000000
2001,Indonesia,150000000000,1.226309861,11.50011488,-2977391857,160447000000
2002,Indonesia,180000000000,1.264392528,11.90011757,145085548.7,195661000000
2003,Indonesia,220000000000,1.497741738,6.757317194,-596923827.8,234772000000
2004,Indonesia,240000000000,1.019116844,6.064059885,1896082770,256837000000
2005,Indonesia,260000000000,0.810812654,10.45319842,8336257208,286000000000
2006,Indonesia,340000000000,0.684483764,13.1086721,4914201435,365000000000
2007,Indonesia,400000000000,0.572792653,6.406562813,6928480000,432000000000
2008,Indonesia,470000000000,0.700120209,10.22666455,9318453650,510000000000
2009,Indonesia,510000000000,0.909285037,4.38641555,4877369178,540000000000
2010,Indonesia,720000000000,0.945714622,5.134204008,15292009411,755000000000
2011,Indonesia,850000000000,0.750789394,5.35604779,20564938227,893000000000
2012,Indonesia,870000000000,0.658702778,4.279499996,21200778608,918000000000
2013,Indonesia,870000000000,0.712361931,6.412513302,23281742362,913000000000
2014,Indonesia,860000000000,0.578945805,6.394925408,25120732060,891000000000
2015,Indonesia,840000000000,0.571133892,6.363121131,19779127977,861000000000
2016,Indonesia,910000000000,0.617587092,3.525805157,4541713739,932000000000
2017,Indonesia,990000000000,0.653776703,3.80879807,20510310832,1020000000000
2018,Indonesia,1000000000000,0.711549473,3.198346416,18909826044,1040000000000
2019,Indonesia,1100000000000,0.918769839,3.03058665,24993551748,1120000000000
2020,Indonesia,,0.777855178,1.920968006,19175077748,1060000000000
2021,Indonesia,,0.882266735,1.560129905,21166726871,1190000000000
