Time,Year,Month,Garment - Footwear - Hat_toDecCPI ,CPI_toPM,CPI_rate
1,2015,1,100.7,100.7,0.7
2,2015,2,100.2,99.50347567,-0.49652433
3,2015,3,100.1,99.9001996,-0.099800399
4,2015,4,100.3,100.1998002,0.1998002
5,2015,5,100.3,100,0
6,2015,6,100.1,99.80059821,-0.199401795
7,2015,7,100.5,100.3996004,0.3996004
8,2015,8,100.2,99.70149254,-0.298507463
9,2015,9,100.1,99.9001996,-0.099800399
10,2015,10,100.3,100.1998002,0.1998002
11,2015,11,100.1,99.80059821,-0.199401795
12,2015,12,100.1,100,0
13,2016,1,100.3,100.3,0.3
14,2016,2,100,99.70089731,-0.299102692
15,2016,3,100.2,100.2,0.2
16,2016,4,100.1,99.9001996,-0.099800399
17,2016,5,100.2,100.0999001,0.0999001
18,2016,6,100.2,100,0
19,2016,7,100.1,99.9001996,-0.099800399
20,2016,8,100.1,100,0
21,2016,9,100.1,100,0
22,2016,10,100.1,100,0
23,2016,11,100.3,100.1998002,0.1998002
24,2016,12,100.3,100,0
25,2017,1,100.1,100.1,0.1
26,2017,2,99.9,99.8001998,-0.1998002
27,2017,3,99.9,100,0
28,2017,4,100.1,100.2002002,0.2002002
29,2017,5,100.1,100,0
30,2017,6,100.1,100,0
31,2017,7,100,99.9000999,-0.0999001
32,2017,8,100.1,100.1,0.1
33,2017,9,100.1,100,0
34,2017,10,100.2,100.0999001,0.0999001
35,2017,11,100.1,99.9001996,-0.099800399
36,2017,12,100.7,100.5994006,0.599400599
37,2018,1,99.9,99.9,-0.1
38,2018,2,100.4,100.5005005,0.500500501
39,2018,3,100.4,100,0
40,2018,4,100,99.60159363,-0.398406375
41,2018,5,100.2,100.2,0.2
42,2018,6,100.2,100,0
43,2018,7,100.5,100.2994012,0.299401198
44,2018,8,100.5,100,0
45,2018,9,100.5,100,0
46,2018,10,100.5,100,0
47,2018,11,100.5,100,0
48,2018,12,100.6,100.0995025,0.099502488
49,2019,1,100.1,100.1,0.1
50,2019,2,100.2,100.0999001,0.0999001
51,2019,3,99.9,99.7005988,-0.299401198
52,2019,4,100.1,100.2002002,0.2002002
53,2019,5,100.1,100,0
54,2019,6,100.3,100.1998002,0.1998002
55,2019,7,100.2,99.9002991,-0.099700897
56,2019,8,100.1,99.9001996,-0.099800399
57,2019,9,100.1,100,0
58,2019,10,99.7,99.6003996,-0.3996004
59,2019,11,99.8,100.1003009,0.100300903
60,2019,12,100.1,100.3006012,0.300601202
61,2020,1,100.07,100.07,0.07
62,2020,2,99.81,99.74018187,-0.259818127
63,2020,3,100.03,100.2204188,0.220418796
64,2020,4,99.44,99.41017695,-0.589823053
65,2020,5,100.08,100.6436042,0.643604183
66,2020,6,99.92,99.8401279,-0.159872102
67,2020,7,100.1,100.1801441,0.180144115
68,2020,8,100,99.9000999,-0.0999001
69,2020,9,100.14,100.14,0.14
70,2020,10,100.07,99.93009786,-0.069902137
71,2020,11,100.17,100.09993,0.099930049
72,2020,12,100.06,99.89018668,-0.109813317
73,2021,1,100.2,100.2,0.2
74,2021,2,100.06,99.86027944,-0.139720559
75,2021,3,99.98,99.92004797,-0.079952029
76,2021,4,100.1,100.120024,0.120024005
77,2021,5,100.05,99.95004995,-0.04995005
78,2021,6,100.02,99.97001499,-0.029985007
79,2021,7,99.92,99.90002,-0.099980004
80,2021,8,99.95,100.030024,0.030024019
81,2021,9,99.93,99.97998999,-0.020010005
82,2021,10,100.23,100.3002101,0.300210147
83,2021,11,100.26,100.0299312,0.029931158
84,2021,12,100.04,99.78057052,-0.219429483
85,2022,1,100.09,100.09,0.09
86,2022,2,100.06,99.97002698,-0.029973024
87,2022,3,100.22,100.1599041,0.159904058
88,2022,4,99.95,99.7305927,-0.269407304
89,2022,5,100.03,100.08004,0.08004002
90,2022,6,100.27,100.239928,0.239928022
91,2022,7,100.23,99.96010771,-0.039892291
92,2022,8,100.15,99.92018358,-0.079816422
93,2022,9,100.12,99.97004493,-0.029955067
94,2022,10,100.19,100.0699161,0.069916101
95,2022,11,100.23,100.0399241,0.039924144
96,2022,12,100.29,100.0598623,0.059862317
,,,,,
,,,,,
,,,,,
